,Prompt,,,,Top prompts,,,
The queen bee,And,"And the dwarf married the youngest and the best of the princesses, and was king after her father’s death; but his two brothers married the other two sisters.",,,,,,
The elves and the shoe maker,C,"The good couple saw them no more; but everything went well with them from that time forward, as long as they lived.
",,,,,,
The juniper-tree,Then,"Then they all three rejoiced, and went inside together and sat down to their dinners and ate.",,,,,,
The turnip,So saying,"So saying, he trotted off on the student’s nag, and left the poor fellow to gather wisdom till somebody should come and let him down.",,,,,,
Clever Hans,Then,"Then Gretel became angry, tore herself loose and ran away, and was no longer the bride of Hans.",,,,,,
The three languages,Then,"Then he had to sing a mass, and did not know one word of it, but the two doves sat continually on his shoulders, and said it all in his ear.",,,,,,
The fox and the cat,D,"Ah, Mr Fox,’ cried the cat. ‘You with your hundred arts are left in the lurch! Had you been able to climb like me, you would not have lost your life.’",,,,,,
The four clever brothers,And ,"And the king then gave to each half a kingdom, as he had said; and they lived very happily the rest of their days, and took good care of their father; and somebody took better care of the young lady, than to let either the dragon or one of the craftsmen have her again.",,,,,,
Lily and the lion,And,And after all their troubles they lived happily together to the end of their days.,,,,,,
The fox and the horse,And so,"And so the poor old horse had plenty to eat, and lived—till he died.",,,,,,
The blue light,C,"The king was terrified; he threw himself on the soldier’s mercy, and merely to be allowed to live at all, gave him his kingdom for his own, and his daughter to wife.",,,,,,
The raven,Then,"Then he dismounted and took her in his arms; and she kissed him, and said, ‘Now you have indeed set me free, and tomorrow we will celebrate our marriage.’",,,,,,
The golden goose,And ,"And young and old, noble and squire, gentle and simple, came at once on the summons; and among the rest came the friendly dwarf, with the sugarloaf hat, and a new scarlet cloak.",,,,,,
The twelve huntsmen,Thereupon,"Thereupon the wedding was celebrated, and the lion was again taken into favour, because, after all, he had told the truth.",,,,,,
The king of the golden mountain,Then,"Then they turned upon him and tried to seize him; but he drew his sword. ‘Heads Off!’ cried he; and with the word the traitors’ heads fell before him, and Heinel was once more king of the Golden Mountain.",,,,,,
Doctor knowall,Then,"Then Doctor Knowall showed the lord where the money was, but did not say who had stolen it, and received from both sides much money in reward, and became a renowned man.",,,,,,
The seven ravens,When,"When the little girl heard this (for she stood behind the door all the time and listened), she ran forward, and in an instant all the ravens took their right form again; and all hugged and kissed each other, and went merrily home.",,,,,,
The wedding of mrs fox,Then ,"Then the wedding was solemnized with young Mr Fox, and there was much rejoicing and dancing; and if they have not left off, they are dancing still.
",,,,,,
The salad,So ,"So they were married, and lived together very happily till they died.",,,,,,
The story of the youth who went forth to learn what fear was,Then,"Then he woke up and cried: ‘Oh, what makes me shudder so?—what makes me shudder so, dear wife? Ah! now I know what it is to shudder!’",,,,,,
King Grisly-beard,The feast,Joy was in every face and every heart. The feast was grand; they danced and sang; all were merry; and I only wish that you and I had been of the party.,,,,,,
Iron hans,He,"He went up to the youth, embraced him and said: ‘I am Iron Hans, and was by enchantment a wild man, but you have set me free; all the treasures which I possess, shall be your property.’",,,,,,
Cat-skin,And,"And the wedding feast was held, and a merry day it was, as ever was heard of or seen in that country, or indeed in any other.",,,,,,
Snow-white and rose-red,She,"She took the two rose-trees with her, and they stood before her window, and every year bore the most beautiful roses, white and red.",,,,,,
Little brother and little sister,And,"And as soon as she was burnt the Roe changed his shape, and received his human form again. So the little sister and little brother lived happily together all their lives.",,,,,,
,,,,,,,,
,,,,,,,,
Test story,,200 Epochs,300 Epochs,,,,,
THE STAR-MONEY ,Then,"Then she gathered together the money into this, and was rich all the days of her life.","Then he was told that the king had never seen one of the room, but they were alone in the wood together",,,,,
Input,Then she,"Then she grieved sorely at her misfortune, and said she would give him
the princess; and they all thinking he of them as if they were would
not distake to her to step outside for a moment.","Then she was sorry as the morning when he saw how his daughter behaved,
and how she ill-treated all his guesses.",,,,,
,So,"So they were married, and lived together very happy.","So the stairs was made to shee, and said to herself, ‘The gold will soon be mine.’",,,,,
,And,And she was made to set the fresh of the sausages.,"And thus she went roving on through the wide world, and looked about and flew into the fields",,,,,
,She cAnd she was made to set the fresh of the sausages.And she was made to set the fresh of the sausages.-//,,,,,,,
